index,text,Diacterized,Buckwalter,Cleaned_Text
12548,الحكومة بتاعته أعلنت إنها ناوية تعمل تعديل,الحُكومَةُ بِتاعِتْهُ أَعْلَنَتْ إِنَّها ناويَةٌ تَعْمَلُ تَعْديلُ,AlHukwmapu bitAEitohu >aEolanato <in~ahA nAwyapN taEomalu taEodylu,alhukwmtu btaethu aelnt inha nawyt temlu tedylu
12549, كبير وشامل,كَبيرُ وَشامِلٍ,kabyru wa$AmilK,kbyru wshaml
12550,في نظام المعاشات التقاعدية في البلد,في نِظامِ المَعاشاتِ التَّقاعُديَّةِ في البَلَدِ,fy niZAmi AlmaEA$Ati Alt~aqAEudy~api fy Albaladi,fy nzam almeashat altqaeudyt fy albld
12551,الخطة دي أول ما تم الإعلان عنها,الخُطَّةُ دي أَوَّلُ ما تَمَّ الإِعْلانُ عَنْها,AlxuT~apu dy >aw~alu mA tam~a Al<iEolAnu EanohA,alkhuttu dy awlu ma tm alielanu enha
12552, البلد ولعت,البَلَدُ وَلَعتَ,Albaladu walaEta,albldu wlet
12553,والفرنسيين خرجوا في الشوارع,والفَرَنْسيّينَ خَرَجوا في الشَّوارِعِ,wAlfaranosy~yna xarajwA fy Al$~awAriEi,walfrnsyyn khrjwa fy alshware
12554,وبهدلوا الدنيا,وَبَهْدَلوا الدُّنْيا,wabahodalwA Ald~unoyA,wbhdlwa aldunya
12555,وبالتوازي مع دا,وَبِالتَّوازي مَعَ دا,wabiAlt~awAzy maEa dA,wbaltwazy me da
12556, بدؤوا أكبر إضراب عن العمل شافته فرنسا,بَدَؤوا أَكْبَرَ إِضْرابٍ عَنْ العَمَلِ شافتْهُ فَرَنْسا,bada&wA >akobara <iDorAbK Eano AlEamali $Aftohu faranosA,bdwwa akbr idrab en aleml shafthu frnsa
12557,وبرغم كدا ماكرون فضل مصمم على رأيه,وَبِرَغْمِ كَدا ماكَرونَ فَضْلٍ مُصَمِّمٍ عَلَى رَأْيِهِ,wabiragomi kadA mAkarwna faDolK muSam~imK EalaY ra>oyihi,wbrghm kda makrwn fdl musmm ela rayh
12558,وكان ناوي ينفذ الخطة بأي تمن,وَكانَ ناوي يَنْفُذُ الخُطَّةُ بِأَيِّ تَمَنٍ,wakAna nAwy yanofu*u AlxuT~apu bi>ay~i tamanK,wkan nawy ynfudhu alkhuttu bay tmn
12559,وكل حاجة وقفت والترتيبات تلخبطت,وَكُلُّ حاجَةٍ وَقَفتْ والتَّرْتيباتُ تلخبطتْ,wakul~u HAjapK waqafto wAlt~arotybAtu tlxbTto,wkulu hajt wqft waltrtybatu tlkhbtt
12560, فتم تعليق الخطة من ساعتها,فَتَمَّ تَعْليقِ الخُطَّةِ مِنْ ساعَتَها,fatam~a taEolyqi AlxuT~api mino sAEatahA,ftm telyq alkhutt mn saetha
12561,طب ليه ماكرون لسه مصمم لحد دالوقت,طِبِّ ليهْ ماكَرونَ لِسّْهُ مُصَمِّمُ لِحَدِّ دالوقتْ,Tib~i lyho mAkarwna lis~ohu muSam~imu liHad~i dAlwqto,tb lyh makrwn lshu musmmu lhd dalwqt
12562,إنه يعدل نظام المعاشات ,إِنَّهُ يَعْدِلُ نِظامَ المَعاشاتِ,<in~ahu yaEodilu niZAma AlmaEA$Ati,inhu yedlu nzam almeashat
12563,هقول لك,هُقولَ لَكَ,huqwla laka,huqwl lk
12564,المجلس الاستشاري للمعاشات التقاعدية في فرنسا,المَجْلِسُ الِاسْتِشاريُّ لِلْمَعاشاتِ التَّقاعُديَّةِ في فَرَنْسا,Almajolisu AliAsoti$Ary~u lilomaEA$Ati Alt~aqAEudy~api fy faranosA,almjlsu alastsharyu llmeashat altqaeudyt fy frnsa
12565,أصدر تقرير مهم جدا,أَصْدَرَ تَقْريرُ مُهِمٍّ جِدًّا,>aSodara taqoryru muhim~K jid~FA,asdr tqryru muhm jda
12566,وضح فيه إن نظام المعاشات الفرنسي,وَضَّحَ فيهِ إِنَّ نِظامَ المَعاشاتِ الفَرَنْسيِّ,waD~aHa fyhi <in~a niZAma AlmaEA$Ati Alfaranosy~i,wdh fyh in nzam almeashat alfrnsy
12567,كانت سنة زي العسل,كانَتْ سَنَةً زيَّ العَسَلِ,kAnato sanapF zy~a AlEasali,kant snt zy alesl
12568,والفائض بتاع نظام المعاشات قيمته وصلت فيها,والْفائِضُ بِتاعَ نِظامِ المَعاشاتِ قيمَتُهُ وَصَلَتْ فيها,wAlofA}iDu bitAEa niZAmi AlmaEA$Ati qymatuhu waSalato fyhA,walfaydu btae nzam almeashat qymtuhu wslt fyha
12569,حلو قوي الكلام دا,حُلْوٌ قَويٌّ الكَلامِ دا,HulowN qawy~N AlkalAmi dA,hulw qwy alklam da
12570, المشكلة فين بقى ,المُشْكِلَةُ فينْ بَقَّى,Almu$okilapu fyno baq~aY,almushkltu fyn bqa
12571,المشكلة هي إن اللي جاي مش حلو خالص,المُشْكِلَةُ هيَ إِنَّ اللّي جاي مَشْ حُلْوْ خالِصُ,Almu$okilapu hya <in~a All~y jAy ma$o Hulowo xAliSu,almushkltu hy in ally jay msh hulw khalsu
12572,المستقبل مش لطيف,المُسْتَقْبَلُ مَشْ لَطيفٌ,Almusotaqobalu ma$o laTyfN,almustqblu msh ltyf
12573,بحسب نفس التقرير لو نظام المعاشات الفرنسي,بِحَسَبِ نَفْسِ التَّقْريرِ لَوْ نِظامَ المَعاشاتِ الفَرَنْسيِّ,biHasabi nafosi Alt~aqoryri lawo niZAma AlmaEA$Ati Alfaranosy~i,bhsb nfs altqryr lw nzam almeashat alfrnsy
12574,فضل على وضعه الحالي,فَضْلُ عَلَى وَضْعِهِ الحاليِّ,faDolu EalaY waDoEihi AlHAly~i,fdlu ela wdeh alhaly
12575, فمن المتوقع إن موقفه المالي يتدهور جدا,فَمِن المُتَوَقَّعِ إِنَّ مَوْقِفَهُ الماليُّ يَتَدَهْوَرَ جِدًّا,famin Almutawaq~aEi <in~a mawoqifahu AlmAly~u yatadahowara jid~FA,fmn almutwqe in mwqfhu almalyu ytdhwr jda
12576, وهيعاني بشكل سنوي,وهيعاني بِشَكْلٍ سَنَويٍّ,whyEAny bi$akolK sanawy~K,whyeany bshkl snwy
12577,من عجز تتراوح قيمته,مِنْ عَجْزٍ تَتَراوَحُ قيمَتُهُ,mino EajozK tatarAwaHu qymatuhu,mn ejz ttrawhu qymtuhu
12578,طب ليه العجز دا هيحصل ,طِبِّ ليهْ العَجْزُ دا هيحصلْ,Tib~i lyho AlEajozu dA hyHSlo,tb lyh alejzu da hyhsl
12579,الحكومة الفرنسية بتقول إن السبب يا محترمين,الحُكومَةُ الفَرَنْسيَّةُ بِتَقولَ إِنَّ السَّبَبَ يا مُحْتَرَمَيْنِ,AlHukwmapu Alfaranosy~apu bitaqwla <in~a Als~ababa yA muHotaramayoni,alhukwmtu alfrnsytu btqwl in alsbb ya muhtrmyn
12580,هو إن عدد سنين العمل اللي الفرنسيين,هوَ إِنَّ عَدَدَ سِنينَ العَمَلِ اللّيَّ الفَرَنْسيّينَ,hwa <in~a Eadada sinyna AlEamali All~y~a Alfaranosy~yna,hw in edd snyn aleml ally alfrnsyyn
12581,بيشتغلوها على مدار حياتهم المهنية,بيشتغلوها عَلَى مَدارِ حَياتِهِمْ المِهْنيَّةِ,by$tglwhA EalaY madAri HayAtihimo Almihony~api,byshtghlwha ela mdar hyathm almhnyt
12582,واللي بيساهموا من خلالها في المعاشات قليلة,واللّيَّ بيساهموا مِنْ خِلالِها في المَعاشاتِ قَليلَةٌ,wAll~y~a bysAhmwA mino xilAlihA fy AlmaEA$Ati qalylapN,wally bysahmwa mn khlalha fy almeashat qlylt
12583,وفي نفس الوقت,وَفي نَفْسِ الوَقْتِ,wafy nafosi Alwaqoti,wfy nfs alwqt
12584, متوسط الفترة اللي بيعيشوها بعد ما بيتقاعدوا,مُتَوَسِّطُ الفَتْرَةِ اللّي بيعيشوها بَعْدَ ما بيتقاعدوا,mutawas~iTu Alfatorapi All~y byEy$whA baEoda mA bytqAEdwA,mutwstu alftrt ally byeyshwha bed ma bytqaedwa
12585, عمالة تكبر,عِمالَةً تَكَبَّرُ,EimAlapF takab~aru,emalt tkbru
12586, لإن أعمارهم بتزيد وبيعيشوا كتير,لَإِنْ أَعْمارُهُمْ بِتَزيدَ وبيعيشوا كِتيرْ,la<ino >aEomAruhumo bitazyda wbyEy$wA kityro,lin aemaruhum btzyd wbyeyshwa ktyr
12587,يعني الفترة اللي الموظف بيدفع فيها بتقل,يَعْني الفَتْرَةَ اللّي الموَظَّفُ بيَدْفَعُ فيها بِتَقِلَّ,yaEony Alfatorapa All~y AlmwaZ~afu byadofaEu fyhA bitaqil~a,yeny alftrt ally almwzfu bydfeu fyha btql
12588, واللي بياخد فيها بتزيد,واللّيْ بياخُدْ فيها بِتَزيدَ,wAll~yo byAxudo fyhA bitazyda,wally byakhud fyha btzyd
12589, والنتيجة هي إن التمويل المتاح,والنَّتيجَةُ هيَ إِنَّ التَّمْويلَ المُتاحَ,wAln~atyjapu hya <in~a Alt~amowyla AlmutAHa,walntyjtu hy in altmwyl almutah
12590, في نظام المعاشات بيقل,في نِظامِ المَعاشاتِ بيَقِلَّ,fy niZAmi AlmaEA$Ati byaqil~a,fy nzam almeashat byql
12591,والمصروفات بتزيد,والْمَصْروفاتُ بِتَزيدَ,wAlomaSorwfAtu bitazyda,walmsrwfatu btzyd
12592,ودا اللي هيعمل عجز,وُدًّا اللّي هيعملْ عَجْزٍ,wud~FA All~y hyEmlo EajozK,wuda ally hyeml ejz
12593,العجز دا علشان يتسد ماكرون قدامه حل من تلاتة,العَجْزِ دا عَلَشانِ يتسدْ ماكَرونَ قُدّامَهُ حِلَّ مِنْ تَلاِتَةٍ,AlEajozi dA Eala$Ani ytsdo mAkarwna qud~Amahu Hil~a mino talAitapK,alejz da elshan ytsd makrwn qudamhu hl mn tlatt
12594,الحل الأول,الحَلُّ الأَوَّلُ,AlHal~u Al>aw~alu,alhlu alawlu
12595,هو إن حكومته تستلف وتسد العجز دا,هوَ إِنَّ حُكومَتَهُ تَسْتَلِفُ وَتَسُدُّ العَجْزَ دا,hwa <in~a Hukwmatahu tasotalifu watasud~u AlEajoza dA,hw in hukwmthu tstlfu wtsudu alejz da
12596,ولكن فيه مشكلة هنا,وَلَكِنْ فيهِ مُشْكِلَةَ هُنا,walakino fyhi mu$okilapa hunA,wlkn fyh mushklt huna
12597, وهي إن ديون فرنسا,وَهيَ إِنْ دُيونَ فَرَنْسا,wahya <ino duywna faranosA,why in duywn frnsa
12598,بتقترب من الوصول لمستويات حرجة,بِتَقْتَرِبْ مِنْ الوُصولِ لِمُسْتَوَياتٍ حَرِجَةٍ,bitaqotaribo mino AlwuSwli limusotawayAtK HarijapK,btqtrb mn alwuswl lmustwyat hrjt
12599,نسبة الدين للناتج المحلي الإجمالي في فرنسا حاليا,نِسْبَةُ الدَّيْنِ لِلنّاتِجِ المَحَلّيِّ الإِجْماليِّ في فَرَنْسا حاليًّا,nisobapu Ald~ayoni liln~Atiji AlmaHal~y~i Al<ijomAly~i fy faranosA HAly~FA,nsbtu aldyn llnatj almhly alijmaly fy frnsa halya
12600,ودا مستوى خطر,وُدًّا مُسْتَوَى خَطَرٍ,wud~FA musotawaY xaTarK,wuda mustwa khtr
12601,وبيؤثر بالفعل على الجدارة الائتمانية لفرنسا,وَبيُؤَثِّرْ بِالْفِعْلِ عَلَى الجَدارَةِ الِائْتِمانيَّةِ لِفَرَنْسا,wabyu&av~iro biAlofiEoli EalaY AljadArapi AliA}otimAny~api lifaranosA,wbyuwthr balfel ela aljdart alaytmanyt lfrnsa
12602,يعني في شهر ديسمبر اللي فات,يَعْني في شَهْرِ ديسِمْبِرَ اللّي فاتَ,yaEony fy $ahori dysimobira All~y fAta,yeny fy shhr dysmbr ally fat
12603,وكالة التصنيف الائتماني ستاندارد آند بورز,وَكالَةُ التَّصْنيفِ الِائْتِمانيِّ سِتانْدارْدْ آنْدْ بورْزْ,wakAlapu Alt~aSonyfi AliA}otimAny~i sitAnodArodo |nodo bwrozo,wkaltu altsnyf alaytmany standard and bwrz
12604,ولكنها في نفس الوقت,وَلَكِنَّها في نَفْسِ الوَقْتِ,walakin~ahA fy nafosi Alwaqoti,wlknha fy nfs alwqt
12605,عدلت النظرة المستقبلية للديون الفرنسية,عَدَّلتْ النَّظْرَةُ المُسْتَقْبَليَّةُ لِلدُّيونِ الفَرَنْسيَّةِ,Ead~alto Aln~aZorapu Almusotaqobaly~apu lild~uywni Alfaranosy~api,edlt alnzrtu almustqblytu llduywn alfrnsyt
12606,من مستقرة لسالبة,مِنْ مُسْتَقِرَّةٍ لِسالِبَةٍ,mino musotaqir~apK lisAlibapK,mn mustqrt lsalbt
12607,يعني دا معناه إن التصنيف الائتماني لفرنسا,يَعْني دا مَعْناهُ إِنَّ التَّصْنيفَ الِائْتِمانيِّ لِفَرَنْسا,yaEony dA maEonAhu <in~a Alt~aSonyfa AliA}otimAny~i lifaranosA,yeny da menahu in altsnyf alaytmany lfrnsa
12608,مرشح للانخفاض في أي لحظة,مُرَشَّحُ لِلِانْخِفاضِ في أَيِّ لَحْظَةٍ,mura$~aHu liliAnoxifADi fy >ay~i laHoZapK,murshhu llankhfad fy ay lhzt
12609,دا بيضغط بشكل كبير على الميزانية الفرنسية,دا بيَضْغَطُ بِشَكْلٍ كَبيرٍ عَلَى الميزانيَّةِ الفَرَنْسيَّةِ,dA byaDogaTu bi$akolK kabyrK EalaY AlmyzAny~api Alfaranosy~api,da bydghtu bshkl kbyr ela almyzanyt alfrnsyt
12610, لإن في ظل المخاطر المحيطة بحجم الدين,لَإِنْ في ظِلِّ المَخاطِرِ المُحيطَةِ بِحَجْمِ الدّينِ,la<ino fy Zil~i AlmaxATiri AlmuHyTapi biHajomi Ald~yni,lin fy zl almkhatr almuhytt bhjm aldyn
12611, فرنسا بتضطر إنها تدفع فوائد أعلى,فَرَنْسا بِتُضْطَرّْ إِنَّها تَدْفَعُ فَوائِدَ أَعْلَى,faranosA bituDoTar~o <in~ahA tadofaEu fawA}ida >aEolaY,frnsa btudtr inha tdfeu fwayd aela
12612,على خدمة ديونها,عَلَى خِدْمَةِ دُيونِها,EalaY xidomapi duywnihA,ela khdmt duywnha
12613,اللي بتقترب من تلاتة تريليون يورو,اللّي بِتَقْتَرِبَ مِنْ تَلاِتَةِ تِريلْيونِ يورو,All~y bitaqotariba mino talAitapi tiryloywni ywrw,ally btqtrb mn tlatt trylywn ywrw
12614,وبالتالي خيار الاقتراض دا مش عملي,وَبِالتّالي خيارُ الِاقْتِراضِ دا مَشْ عَمَليٌّ,wabiAlt~Aly xyAru AliAqotirADi dA ma$o Eamaly~N,wbaltaly khyaru alaqtrad da msh emly
12615,من وجهة نظر الحكومة الفرنسية,مِنْ وُجْهَةِ نَظَرِ الحُكومَةِ الفَرَنْسيَّةِ,mino wujohapi naZari AlHukwmapi Alfaranosy~api,mn wujht nzr alhukwmt alfrnsyt
12616,الخيار التاني بقى,الخيارُ التّاني بَقَّى,AlxyAru Alt~Any baq~aY,alkhyaru altany bqa
12617,هو إن الحكومة الفرنسية,هوَ إِنَّ الحُكومَةَ الفَرَنْسيَّةُ,hwa <in~a AlHukwmapa Alfaranosy~apu,hw in alhukwmt alfrnsytu
12618,ترفع الضرائب علشان تزود إيراداتها,تَرْفَعُ الضَّرائِبَ عَلَشانِ تُزَوِّدُ إيراداتِها,tarofaEu AlD~arA}iba Eala$Ani tuzaw~idu <yrAdAtihA,trfeu aldrayb elshan tuzwdu iyradatha
12619,بحيث توفر الفلوس اللي محتاجاها,بِحَيْثُ توَفِّرُ الفُلوسَ اللّي مُحْتاجاها,biHayovu twaf~iru Alfulwsa All~y muHotAjAhA,bhythu twfru alfulws ally muhtajaha
12620,علشان تسد العجز,عَلَشانْ تَسُدُّ العَجْزَ,Eala$Ano tasud~u AlEajoza,elshan tsudu alejz
12621,بتاع نظام المعاشات التقاعدية,بِتاعَ نِظامِ المَعاشاتِ التَّقاعُديَّةِ,bitAEa niZAmi AlmaEA$Ati Alt~aqAEudy~api,btae nzam almeashat altqaeudyt
12622,ولكن برضه بالنسبة لماكرون دا مش خيار,وَلَكِنْ بَرْضَهُ بِالنِّسْبَةِ لماكرونْ دا مَشْ خيارَ,walakino baroDahu biAln~isobapi lmAkrwno dA ma$o xyAra,wlkn brdhu balnsbt lmakrwn da msh khyar
12623,ودا مش عشان هو حابب يشجع النشاط الاقتصادي,وُدًّا مَشْ عَشانْ هوَ حابِبُ يُشَجِّعُ النَّشاطَ الِاقْتِصاديَّ,wud~FA ma$o Ea$Ano hwa HAbibu yu$aj~iEu Aln~a$ATa AliAqotiSAdy~a,wuda msh eshan hw habbu yushjeu alnshat alaqtsady
12624,ويفتح السوق,وَيَفْتَحُ السّوقُ,wayafotaHu Als~wqu,wyfthu alswqu
12625,لأ,لَأْ,la>o,la
12626,كل الحكاية هو إنه ما فيش مجال أصلا لرفع الضرايب,كُلُّ الحِكايَةِ هوَ إِنَّهُ ما فيشْ مَجالٌ أَصْلًا لِرَفْعِ الضَّرايِبِ,kul~u AlHikAyapi hwa <in~ahu mA fy$o majAlN >aSolFA lirafoEi AlD~arAyibi,kulu alhkayt hw inhu ma fysh mjal asla lrfe aldrayb
12627,في فرنسا أكتر من كدا,في فَرَنْسا أَكْتَرْ مِنْ كَدا,fy faranosA >akotaro mino kadA,fy frnsa aktr mn kda
12628,للي ما يعرفش منكم,لِلّي ما يعرفشْ مِنْكُمْ,lil~y mA yErf$o minokumo,lly ma yerfsh mnkum
12629,من الناتج المحلي الإجمالي لفرنسا,مِنْ النّاتِجِ المَحَلّيِّ الإِجْماليِّ لِفَرَنْسا,mino Aln~Atiji AlmaHal~y~i Al<ijomAly~i lifaranosA,mn alnatj almhly alijmaly lfrnsa
12630,ودي أعلى نسبة,وُدّيٌّ أَعْلَى نِسْبَةٍ,wud~y~N >aEolaY nisobapK,wudy aela nsbt
12631,وسط الدول الأعضاء في منظمة التعاون الاقتصادي,وَسَطَ الدّوَلِ الأَعْضاءِ في مُنَظَّمَةِ التَّعاوُنِ الِاقْتِصاديِّ,wasaTa Ald~wali Al>aEoDA'i fy munaZ~amapi Alt~aEAwuni AliAqotiSAdy~i,wst aldwl alaedae fy munzmt alteawun alaqtsady
12632,والتنمية بعد الدانمارك,والتَّنْميَةُ بَعْدَ الدّانِمارْكِ,wAlt~anomyapu baEoda Ald~AnimAroki,waltnmytu bed aldanmark
12633,فرنسا بالفعل,فَرَنْسا بِالْفِعْلِ,faranosA biAlofiEoli,frnsa balfel
12634,معتمدة بشكل كبير على الضرائب,مُعْتَمِدَةٌ بِشَكْلٍ كَبيرٍ عَلَى الضَّرائِبِ,muEotamidapN bi$akolK kabyrK EalaY AlD~arA}ibi,muetmdt bshkl kbyr ela aldrayb
12635, وصعب إنه يتم زيادة الاعتماد دا أكتر من كدا,وَصَعْبٌ إِنَّهُ يَتِمُّ زيادَةُ الِاعْتِمادِ دا أَكْتَرْ مِنْ كَدا,waSaEobN <in~ahu yatim~u zyAdapu AliAEotimAdi dA >akotaro mino kadA,wseb inhu ytmu zyadtu alaetmad da aktr mn kda
